name,street_address,postcode,city,url,business_type
Stuzzico Pizzabar,Augsburger Str. 29,10789,Berlin,https://helfen-shop.berlin/dein-unternehmen/stuzzico-pizzabar/,restaurant
von Dombrowski Heilig Maltz,Auguststraße 86,10117,Berlin,https://helfen-shop.berlin/dein-unternehmen/von-dombrowski-heilig-maltz/,restaurant
Trattoria Gusto,Bregenzer Strasse 1,10707,Berlin,https://helfen-shop.berlin/dein-unternehmen/trattoria-gusto/,restaurant
english to go,Voigtstraße 9,10245,Berlin,https://helfen-shop.berlin/dein-unternehmen/english-to-go/,restaurant
Mädchen Ohne Abitur,Körtestrasse 5,10967,Berlin,https://helfen-shop.berlin/dein-unternehmen/maedchen-ohne-abitur/,restaurant
Golden! Blumen&Wohnen,Sonnenallee 64,10829,Berlin,https://helfen-shop.berlin/dein-unternehmen/golden-blumenwohnen/,restaurant
Restaurant Alpenwirt,Karl-Marx-Allee 90 a,10243,Berlin,https://helfen-shop.berlin/dein-unternehmen/restaurant-alpenwirt/,restaurant
Kathi & Friseure Meisterbetrieb und Visagistik,Bennigsenstraße 13,12159,Berlin,https://helfen-shop.berlin/dein-unternehmen/kathi-friseure-meisterbetrieb-und-visagistik/,restaurant
Café Vilja,Maximilianstraße 1,13187,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-vilja/,restaurant
LOCKE & GLATZE Glasbläserallee,Glasbläserallee 17,10245,Berlin,https://helfen-shop.berlin/dein-unternehmen/locke-glatze-glasblaeserallee/,restaurant
VW Kantine,Mollstr. 3,10178,Berlin,https://helfen-shop.berlin/dein-unternehmen/vw-kantine/,restaurant
großerherz,Metzer Str. 22,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/grosserherz/,restaurant
The Dorothy Bar,Kollwitzstrasse 41,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/the-dorothy-bar/,restaurant
TỤDO Bubbletea,Hardenbergplatz 2,10623,Berlin,https://helfen-shop.berlin/dein-unternehmen/tudo-bubbletea/,restaurant
crusz Berlin,Spittelmarkt 11-12,10117,Berlin,https://helfen-shop.berlin/dein-unternehmen/crusz-berlin/,restaurant
Coffee Room Berlin,Saarbrücker Str. 30,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/coffee-room-berlin/,restaurant
LOCKE & GLATZE,Greifswalder Strasse 191,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/locke-glatze/,restaurant
Praxis für Craniosacrale Osteopathie und Schmerztherapie nach Liebscher & Bracht,Mahlerstr.35,13088,Berlin,https://helfen-shop.berlin/dein-unternehmen/praxis-fuer-craniosacrale-osteopathie-und-schmerztherapie-nach-liebscher-bracht/,restaurant
Naschpunkt,Schivelbeiner Strasse 10,10439,Berlin,https://helfen-shop.berlin/dein-unternehmen/naschpunkt/,restaurant
Mama Shabz,Reichenberger Str. 61a,10999,Berlin,https://helfen-shop.berlin/dein-unternehmen/mama-shabz/,restaurant
Milchkaffee,Kirchstr.5,12555,Berlin,https://helfen-shop.berlin/dein-unternehmen/milchkaffee/,restaurant
Meck&Sons,Varziner Str.3,12159,Berlin,https://helfen-shop.berlin/dein-unternehmen/mecksons/,restaurant
CAFÉ FLEURY,Weinbergsweg 20,10119,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-fleury/,restaurant
Gainsbourg Bar,Jeanne-Mammen-Bogen 576/577,10623,Berlin,https://helfen-shop.berlin/dein-unternehmen/gainsbourg-bar/,restaurant
Weißes Röss´l,Heinersdorferstr.15,12209,Berlin,https://helfen-shop.berlin/dein-unternehmen/weisses-roessl/,restaurant
LUA Indochina und Sushi Restaurant,Ludolfinger Platz 1,13465,Berlin,https://helfen-shop.berlin/dein-unternehmen/lua-indochina-und-sushi-restaurant/,restaurant
Cafe-Bar Kleine Dinge,Krumme Str.39,10627,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-bar-kleine-dinge/,restaurant
Katalka Spielwaren,Raumerstraße 22,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/katalka-spielwaren/,restaurant
Wasserläufer Berlin,Müggelheimer Straße 1,12555,Berlin,https://helfen-shop.berlin/dein-unternehmen/wasserlaeufer-berlin/,restaurant
Simply Keto – Lowcarb & Glutenfrei,Invalidenstr. 154,10115,Berlin,https://helfen-shop.berlin/dein-unternehmen/simply-keto-lowcarb-glutenfrei/,restaurant
Kosmetikinstitut Christine Noster,Havelmüllerweg 21,13509,Berlin,https://helfen-shop.berlin/dein-unternehmen/kosmetikinstitut-christine-noster/,restaurant
Annette Koroll FOTOS,Knesebeckstr 6/7,10623,Berlin,https://helfen-shop.berlin/dein-unternehmen/annette-koroll-fotos/,restaurant
Restaurant-Cafe “Ephraim’s”,Spreeufer 1,10178,Berlin,https://helfen-shop.berlin/dein-unternehmen/restaurant-cafe-ephraims/,restaurant
Restaurant Malche am See / Catering Igel,Gabrielenstraße 77,13507,Berlin,https://helfen-shop.berlin/dein-unternehmen/restaurant-malche-am-see-catering-igel/,restaurant
All the Colors,Bötzowstraße 28,10407,Berlin,https://helfen-shop.berlin/dein-unternehmen/all-the-colors/,restaurant
Ristorante a Mano,Strausberger Platz 2,10243,Berlin,https://helfen-shop.berlin/dein-unternehmen/ristorante-a-mano/,restaurant
Gänsemarkt,Plantage 1,13597,Berlin,https://helfen-shop.berlin/dein-unternehmen/gaensemarkt/,restaurant
OfCONCRETE,Kollwitzstraße 69,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/ofconcrete/,restaurant
Die Kaffeefreunde,Bänschstr. 73,10247,Berlin,https://helfen-shop.berlin/dein-unternehmen/die-kaffeefreunde/,restaurant
Sweet Sisters,Bänschstraße 41,10247,Berlin,https://helfen-shop.berlin/dein-unternehmen/sweet-sisters/,restaurant
Mitho Cha!,Rykestr. 40,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/mitho-cha/,restaurant
Tysk Berlin,Forststr. 4,12163,Berlin,https://helfen-shop.berlin/dein-unternehmen/tysk-berlin/,restaurant
Ristorante Brigantino,Rheinstrasse 53,12161,Berlin,https://helfen-shop.berlin/dein-unternehmen/ristorante-brigantino/,restaurant
Thomas-Eck,Pestalozzistaße 25,10627,Berlin,https://helfen-shop.berlin/dein-unternehmen/thomas-eck/,restaurant
Wilhelm die 3.,Immanuelkirchstraße 5,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/wilhelm-die-3/,restaurant
Fargo,Grünberger Str.77,10245,Berlin,https://helfen-shop.berlin/dein-unternehmen/fargo/,restaurant
Steffi Mode & Accessoires,Waidmannsluster Damm 189,13469,Berlin,https://helfen-shop.berlin/dein-unternehmen/steffi-mode-accessoires/,restaurant
Zeitraum Berlin by Marius Schewe,Ackerstr. 21,10115,Berlin,https://helfen-shop.berlin/dein-unternehmen/zeitraum-berlin-by-marius-schewe/,restaurant
GM26,Gutsmuthsstr.26,12163,Berlin,https://helfen-shop.berlin/dein-unternehmen/gm26/,restaurant
Limomade,Bänschstr.59,10247,Berlin,https://helfen-shop.berlin/dein-unternehmen/limomade/,restaurant
engelnest coworking,Wilhelm-Kabus-Str. 24,10829,Berlin,https://helfen-shop.berlin/dein-unternehmen/engelnest-coworking/,restaurant
MASKWORLD Store,Oranienburger Straße 86a,10178,Berlin,https://helfen-shop.berlin/dein-unternehmen/maskworld-store/,restaurant
Süßes Rendezvous in Strausberg,Große Straße 13,15344,Berlin,https://helfen-shop.berlin/dein-unternehmen/suesses-rendezvous-in-strausberg/,restaurant
